id,name,category,type,address,hours,mainMenu,priceRange,avgPricePerPerson,description,verificationStatus,lastVerifiedDate,menuSourceUrl,hoursSourceUrl,priceSourceUrl,mapSourceUrl,notes,lat,lng,taste,value,portion,cleanliness,ratingCount,foodKeywords,moodKeywords,etcKeywords,recommendFor,image,kakaoPlaceUrl,sourceCheckedDate
store-023,군자대한곱창 공주신관점,고기,restaurant,충남 공주시 번영2로 54-27,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4721454084984,127.135977062132,0,0,0,0,0,,,,,,http://place.map.kakao.com/1367740496,2026-05-29
store-024,굽네치킨 공주신관점,치킨,restaurant,충남 공주시 흑수골길 48,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.473099175608006,127.14263556392396,0,0,0,0,0,,,,,,http://place.map.kakao.com/8701351,2026-05-29
store-025,그아줌마네,분식,restaurant,충남 공주시 흑수골길 8,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4734430311176,127.13837272071,0,0,0,0,0,,,,,,http://place.map.kakao.com/21491002,2026-05-29
store-026,금성회관,고기,restaurant,충남 공주시 번영2로 9,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4689879961169,127.13172840107,0,0,0,0,0,,,,,,http://place.map.kakao.com/8799840,2026-05-29
store-027,김가네 공주신관점,분식,restaurant,충남 공주시 공주대학로 64,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47068297360481,127.13819933494531,0,0,0,0,0,,,,,,http://place.map.kakao.com/12572929,2026-05-29
store-028,김밥천국 종합터미널점,분식,restaurant,충남 공주시 신관로 74,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.468505195531,127.13475790611432,0,0,0,0,0,,,,,,http://place.map.kakao.com/21259196,2026-05-29
store-029,김성구의성마늘치킨,치킨,restaurant,충남 공주시 신금2길 47,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4727776370395,127.146213315836,0,0,0,0,0,,,,,,http://place.map.kakao.com/875949657,2026-05-29
store-030,까우,양식,restaurant,충남 공주시 번영3로 58,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4717224068192,127.136289856271,0,0,0,0,0,,,,,,http://place.map.kakao.com/797932040,2026-05-29
store-031,까치집,한식,restaurant,충남 공주시 흑수골길 62,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4727236211156,127.143196118186,0,0,0,0,0,,,,,,http://place.map.kakao.com/16625597,2026-05-29
store-032,깡우동 충남공주점,돈까스,restaurant,충남 공주시 번영2로 78-7,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4723882783474,127.137152408302,0,0,0,0,0,,,,,,http://place.map.kakao.com/508359605,2026-05-29
store-033,꼭지네,기타,restaurant,충남 공주시 전막1길 16-15,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.471003284127654,127.12981938884373,0,0,0,0,0,,,,,,http://place.map.kakao.com/9747150,2026-05-29
store-034,꽃돼지무한리필삼겹살,고기,restaurant,충남 공주시 번영3로 55,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4717056576747,127.135962904714,0,0,0,0,0,,,,,,http://place.map.kakao.com/553994591,2026-05-29
store-035,꾸브라꼬숯불치킨 공주점,치킨,restaurant,충남 공주시 신금2길 38-6,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4738440131952,127.145966494063,0,0,0,0,0,,,,,,http://place.map.kakao.com/1204359843,2026-05-29
store-036,나루키친,분식,restaurant,충남 공주시 공주대학로 58-1,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.470303366691,127.138387223751,0,0,0,0,0,,,,,,http://place.map.kakao.com/763545518,2026-05-29
